,Arrivals,Arrivals,Arrivals,Arrivals,Arrivals,Arrivals,Arrivals
Month,Residence,Student,Visitor,Work,New Zealand and Australian citizens,Other,TOTAL
2001M01,0,0,0,0,3328,7213,10541
2001M02,0,0,0,0,2379,8069,10448
2001M03,0,0,0,0,2133,5737,7870
2001M04,0,0,0,0,2064,5602,7666
2001M05,0,0,0,0,1927,4839,6766
2001M06,0,0,0,0,2299,5521,7820
2001M07,0,0,0,0,2453,7415,9868
2001M08,0,0,0,0,2376,6500,8876
2001M09,0,0,0,0,2986,7359,10345
2001M10,0,0,0,0,3293,7256,10549
2001M11,0,0,0,0,3611,7779,11390
2001M12,0,0,0,0,5738,6720,12458
2002M01,0,0,0,0,3441,10515,13956
2002M02,0,0,0,0,2734,9248,11982
2002M03,0,0,0,0,2424,8521,10945
2002M04,0,0,0,0,2071,7267,9338
2002M05,0,0,0,0,2229,6142,8371
2002M06,0,0,0,0,2486,7045,9531
2002M07,0,0,0,0,2623,8692,11315
2002M08,0,0,0,0,2827,7924,10751
2002M09,0,0,0,0,3159,8244,11403
2002M10,0,0,0,0,3282,7793,11075
2002M11,0,0,0,0,3926,8241,12167
2002M12,0,0,0,0,6255,6957,13212
2003M01,0,0,0,0,3991,10193,14184
2003M02,0,0,0,0,3180,8929,12109
2003M03,0,0,0,0,2784,7230,10014
2003M04,0,0,0,0,2524,6048,8572
2003M05,0,0,0,0,2586,5091,7677
2003M06,0,0,0,0,2649,5557,8206
2003M07,1894,2072,2375,747,2888,126,10102
2003M08,1926,940,2092,745,3064,164,8931
2003M09,1741,922,2288,842,3483,123,9399
2003M10,1829,643,2443,873,3468,124,9380
2003M11,1834,585,2688,868,3872,111,9958
2003M12,1692,354,2892,674,6288,159,12059
2004M01,2100,1464,2994,1101,4017,102,11778
2004M02,1744,1865,2467,763,2959,78,9876
2004M03,1235,554,2102,922,2478,100,7391
2004M04,1103,777,1936,652,2288,66,6822
2004M05,1217,388,1836,769,2350,52,6612
2004M06,1160,539,1913,800,2522,89,7023
2004M07,1449,1259,2041,892,2785,95,8521
2004M08,1213,546,2040,839,2890,102,7630
2004M09,1403,559,2150,1091,3229,109,8541
2004M10,1247,453,2340,1050,3209,109,8408
2004M11,1355,417,2727,1017,3489,111,9116
2004M12,1451,271,3105,773,6071,107,11778
2005M01,1845,1123,3024,1143,3729,126,10990
2005M02,1477,1608,2572,854,2838,107,9456
2005M03,1302,510,2465,829,2305,96,7507
2005M04,1484,571,2200,830,2291,92,7468
2005M05,1418,375,2093,855,2158,94,6993
2005M06,1361,454,2048,859,2398,111,7231
2005M07,1502,1115,2124,777,2630,84,8232
2005M08,1529,578,2180,884,2706,95,7972
2005M09,1732,551,2261,1121,3121,63,8849
2005M10,1533,415,2296,1115,3171,100,8630
2005M11,1679,404,2398,1093,3218,83,8875
2005M12,1595,354,2948,861,5913,108,11779
2006M01,2013,983,2725,1399,3683,118,10921
2006M02,1472,1910,2807,1058,2784,79,10110
2006M03,1496,610,2447,1092,2380,90,8115
2006M04,1314,621,2305,943,2226,87,7496
2006M05,1391,406,1923,881,2097,100,6798
2006M06,1543,544,2216,996,2247,75,7621
2006M07,1657,1448,2319,1016,2647,105,9192
2006M08,1779,616,2371,1141,2656,111,8674
2006M09,1902,684,2433,1397,3201,104,9721
2006M10,1674,581,2515,1374,3114,121,9379
2006M11,1646,631,2967,1444,3552,125,10365
2006M12,1480,500,3470,1141,5590,114,12295
2007M01,1967,1254,3025,1481,3527,102,11356
2007M02,1451,2257,2874,1166,2766,96,10610
2007M03,1338,887,2962,1394,2319,69,8969
2007M04,1031,845,2517,1124,2101,113,7731
2007M05,1046,509,2238,1192,2119,87,7191
2007M06,1298,856,2312,1292,2230,61,8049
2007M07,1336,1722,2293,1140,2355,90,8936
2007M08,1596,975,2591,1490,2669,92,9413
2007M09,1532,947,2562,1580,3025,124,9770
2007M10,1454,812,2462,1355,3161,78,9322
2007M11,1375,823,3028,1419,3484,102,10231
2007M12,1334,676,3254,1267,5226,115,11872
2008M01,1662,1588,2828,1590,3331,99,11098
2008M02,1391,2920,3246,1588,2746,135,12026
2008M03,1241,1106,2953,1556,2219,103,9178
2008M04,1157,970,2783,1311,2062,143,8426
2008M05,1183,1006,2621,1402,2198,121,8531
2008M06,1252,1031,2761,1401,2284,127,8856
2008M07,1196,2522,2608,1319,2478,165,10288
2008M08,1433,1289,2677,1613,2628,144,9784
2008M09,1474,1114,2526,1477,2956,127,9674
2008M10,1348,1062,2595,1506,3271,116,9898
2008M11,1350,927,2766,1516,3446,121,10126
2008M12,1278,679,3256,1172,5618,106,12109
2009M01,1728,1706,2801,1602,3630,90,11557
2009M02,1231,3298,2615,1357,2937,138,11576
2009M03,1195,1240,2208,1356,2390,148,8537
2009M04,1031,1139,1834,1108,2223,117,7452
2009M05,1065,882,1670,1165,2336,145,7263
2009M06,1127,897,1743,1119,2447,126,7459
2009M07,1192,2460,1748,1058,2720,158,9336
2009M08,1239,1053,1680,1234,2892,158,8256
2009M09,1389,1183,1705,1262,3081,166,8786
2009M10,1125,1008,1621,1245,3434,134,8567
2009M11,1211,751,1975,1261,3551,60,8809
2009M12,1285,497,2131,964,5708,82,10667
2010M01,1498,1711,1970,1175,3668,89,10111
2010M02,975,2884,2016,1099,2779,111,9864
2010M03,1127,1067,1830,1112,2456,88,7680
2010M04,976,1006,1503,842,2262,80,6669
2010M05,992,749,1393,911,2171,76,6292
2010M06,983,985,1415,903,2367,66,6719
2010M07,1042,2612,1528,885,2667,103,8837
2010M08,1318,1496,1557,1129,2716,93,8309
2010M09,1233,1478,1442,1320,3039,95,8607
2010M10,1131,1360,1634,1470,2974,105,8674
2010M11,1110,1019,1632,1466,3174,82,8483
2010M12,1150,648,1920,1094,5340,102,10254
2011M01,1350,1805,1754,1327,3454,71,9761
2011M02,1108,3197,2046,1296,2568,95,10310
2011M03,1176,1236,1758,1326,2193,98,7787
2011M04,983,1133,1455,1067,2159,72,6869
2011M05,1052,836,1289,1198,2002,64,6441
2011M06,1088,960,1316,1067,2052,70,6553
2011M07,1089,2617,1623,1118,2528,127,9102
2011M08,1202,1208,1571,1464,2772,101,8318
2011M09,1130,1195,1648,1530,2882,102,8487
2011M10,1175,988,1576,1442,2778,92,8051
2011M11,1190,1039,1750,1607,2990,102,8678
2011M12,1241,560,1903,1161,4883,101,9849
2012M01,1359,1816,1882,1407,3015,115,9594
2012M02,1061,3382,1756,1642,2483,131,10455
2012M03,1250,1611,1600,1527,2217,119,8324
2012M04,937,924,1236,1084,1954,76,6211
2012M05,1157,780,1289,1288,1847,78,6439
2012M06,1172,880,1413,1381,2290,90,7226
2012M07,879,2398,1267,1167,2543,96,8350
2012M08,1280,945,1473,1530,2792,107,8127
2012M09,1100,1069,1390,1867,3204,100,8730
2012M10,1186,1008,1468,1708,3075,126,8571
2012M11,1260,820,1550,1833,3486,116,9065
2012M12,1211,512,1768,1271,5779,129,10670
2013M01,1371,1757,1700,1660,3628,110,10226
2013M02,1036,2707,1592,1739,2823,135,10032
2013M03,1224,1338,1538,1768,2603,86,8557
2013M04,1050,914,1335,1479,2480,66,7324
2013M05,962,1006,1285,1446,2404,81,7184
2013M06,974,923,1273,1607,2665,90,7532
2013M07,988,2421,1352,1412,3297,114,9584
2013M08,1128,1256,1367,1796,3256,128,8931
2013M09,1189,1085,1361,1843,3555,130,9163
2013M10,1093,1290,1554,2013,3611,138,9699
2013M11,1187,1061,1824,2064,3754,160,10050
2013M12,1306,686,1921,1490,6444,153,12000
2014M01,1307,2162,1824,1805,3896,144,11138
2014M02,1202,3464,1990,2000,3358,182,12196
2014M03,1320,1760,1866,1979,2811,109,9845
2014M04,1060,1435,1565,1519,2785,75,8439
2014M05,1011,1471,1614,1518,2598,70,8282
2014M06,1243,1653,1555,1630,2788,78,8947
2014M07,968,3873,1713,1494,3425,102,11575
2014M08,1347,2389,1957,1915,3446,164,11218
2014M09,1205,2373,1676,2213,3812,113,11392
2014M10,1331,1966,1649,2266,3844,162,11218
2014M11,1338,1917,1797,2171,3975,154,11352
2014M12,1179,860,2063,1516,6834,126,12578
2015M01,1354,3198,2114,2115,4436,139,13356
2015M02,1133,4474,1775,1868,3219,170,12639
2015M03,1289,2238,2047,2230,3116,124,11044
2015M04,1012,1634,1767,1741,2824,86,9064
2015M05,1235,1344,1634,1782,2924,86,9005
2015M06,1201,1754,1719,1769,2919,114,9476
2015M07,996,4752,1745,1715,3521,113,12842
2015M08,1340,2430,2238,2165,3623,97,11893
2015M09,1270,2584,1953,2531,3880,101,12319
2015M10,1399,2439,1990,2606,4032,157,12623
2015M11,1314,2240,2083,2568,3997,126,12328
2015M12,1439,975,2480,1836,6674,132,13536
2016M01,1413,3098,2381,2281,4690,101,13964
2016M02,1486,4621,2527,2256,3482,116,14488
2016M03,1621,1845,2318,2119,3217,119,11239
2016M04,1284,1558,1933,1874,2830,67,9546
2016M05,1340,1482,2012,1832,2799,83,9548
2016M06,1310,1517,2108,1800,3031,90,9856
2016M07,1340,4030,2181,1804,3567,96,13018
2016M08,1396,1637,2180,2083,3725,92,11113
2016M09,1504,1846,2183,2672,3984,89,12278
2016M10,1584,1689,2208,2756,3916,81,12234
2016M11,1450,1619,2380,2634,4077,131,12291
2016M12,1433,924,2403,2000,6678,111,13549
2017M01,1528,2878,2379,2675,4620,93,14173
2017M02,1452,4301,2303,2560,3386,96,14098
2017M03,1438,1784,2181,2512,2859,110,10884
2017M04,1151,1464,1736,1949,2738,85,9123
2017M05,1311,1310,1898,2034,2732,43,9328
2017M06,1309,1742,1950,2150,2960,57,10168
2017M07,1268,4063,2111,2083,3334,68,12927
2017M08,1345,1733,2195,2451,3413,95,11232
2017M09,1184,1723,2068,2832,3662,93,11562
2017M10,1244,1622,2205,2950,3667,101,11789
2017M11,1169,1587,2079,3013,3809,118,11775
2017M12,1202,1003,2411,1974,6333,120,13043
2018M01,1504,2846,2403,3069,4173,107,14102
2018M02,933,4228,2196,2478,2971,118,12924
2018M03,1203,1756,2370,2711,2870,120,11030
2018M04,908,1387,1786,2083,2533,52,8749
2018M05,1167,1283,2022,2238,2590,51,9351
2018M06,956,1665,2062,2219,2625,44,9571
2018M07,998,4088,2173,2337,3226,82,12904
2018M08,1170,1719,2482,2923,3381,90,11765
2018M09,1005,1757,2301,3243,3610,85,12001
2018M10,1171,1518,2296,3104,3611,94,11794
2018M11,1055,1361,2252,3168,3790,99,11725
2018M12,1198,1056,2499,2294,5962,89,13098
2019M01,1302,2743,2416,3284,4148,115,14008
2019M02,960,3973,2187,2963,2937,190,13210
2019M03,1235,1711,2151,2882,2769,111,10859
2019M04,798,1337,1726,2224,2552,65,8702
2019M05,1075,1296,2143,2884,2807,61,10266
2019M06,1211,1805,2088,2938,3070,73,11185
2019M07,1064,4344,2528,2610,3680,81,14307
2019M08,1286,2126,2816,3618,4019,88,13953
2019M09,1329,1981,2833,4032,4412,202,14789
2019M10,1357,2234,3286,4431,4608,913,16829
2019M11,1417,1976,4061,4448,5164,1157,18223
2019M12,1465,1218,4757,3428,8295,248,19411
2020M01,1423,3809,4426,4666,5181,398,19903
2020M02,1244,5135,4279,4336,4465,1614,21073
2020M03,1027,1371,3738,2813,5937,1357,16243
2020M04,88,3,135,82,819,8,1135
2020M05,135,15,80,51,1099,1,1381
2020M06,339,37,256,131,1655,32,2450
2020M07,440,19,272,103,2896,53,3783
2020M08,584,46,557,150,3636,52,5025
2020M09,526,61,628,242,3929,51,5437
2020M10,730,32,640,167,3455,39,5063
2020M11,545,20,655,93,3495,40,4848
2020M12,569,20,669,125,3678,42,5103
2021M01,659,19,709,115,2990,539,5031
2021M02,614,31,726,215,2614,825,5025
2021M03,732,90,917,285,2642,242,4908
2021M04,753,65,803,186,3775,31,5613
2021M05,765,56,577,127,3693,41,5259
2021M06,805,323,730,159,2762,54,4833
2021M07,762,163,807,142,3601,260,5735
2021M08,560,135,871,192,1100,181,3039
2021M09,395,119,1044,206,1032,31,2827
2021M10,574,101,923,193,1901,242,3934
2021M11,648,100,969,199,1858,366,4140
2021M12,707,143,1002,256,2756,251,5115
2022M01,543,75,787,162,1879,121,3567
2022M02,318,96,839,133,1244,286,2916
2022M03,1097,230,1410,245,3998,213,7193
2022M04,1362,297,1235,1070,3142,186,7292
2022M05,1193,254,2505,798,2525,126,7401
2022M06,1289,671,3020,838,2279,69,8166
2022M07,1308,2046,4248,1008,2754,71,11435
2022M08,1576,869,3204,2036,2408,105,10198
2022M09,1703,1516,2641,4149,2469,81,12559
2022M10,1409,1643,3144,4046,2490,91,12823
2022M11,2084,1668,4493,6486,2819,117,17668
2022M12,1883,1533,5006,5582,3817,94,17914
2023M01,1677,2496,4556,5523,3400,50,17702
2023M02,2214,4618,3480,7986,2187,104,20591
2023M03,3464,2625,5043,10932,1999,147,24210
2023M04,2604,2281,4219,8458,2160,108,19830
2023M05,2825,1934,4800,8698,1908,222,20386
2023M06,3060,2679,5032,7916,2064,200,20950
2023M07,2581,4717,3953,6218,2283,148,19899
2023M08,3473,2622,6426,8437,2424,76,23457
2023M09,2582,2660,5415,7905,3059,152,21773
2023M10,2037,2260,5564,6537,3083,1052,20534
2023M11,2657,1882,7083,6071,3680,1157,22530
2023M12,2278,1912,7969,4236,6205,192,22793